ImageId,PredictionString,target
ILSVRC2012_val_00031094,n01440764 189 187 292 225 ,n01440764
ILSVRC2012_val_00006697,n01440764 165 231 350 322 ,n01440764
ILSVRC2012_val_00009379,n01440764 91 207 412 339 ,n01440764
ILSVRC2012_val_00011993,n01440764 68 151 470 335 ,n01440764
ILSVRC2012_val_00046499,n01440764 71 159 405 318 ,n01440764
ILSVRC2012_val_00000307,n01443537 189 116 499 374 n01443537 0 201 181 374 n01443537 0 69 246 299 n01443537 285 0 459 206 ,n01443537
ILSVRC2012_val_00013623,n01443537 103 235 199 310 n01443537 207 267 281 319 n01443537 312 180 375 256 n01443537 378 169 466 229 n01443537 201 57 308 95 ,n01443537
ILSVRC2012_val_00011914,n01443537 31 199 143 269 n01443537 130 6 307 171 ,n01443537
ILSVRC2012_val_00032258,n01443537 150 81 411 335 ,n01443537
ILSVRC2012_val_00037846,n01443537 118 242 267 447 n01443537 183 1 235 35 ,n01443537
ILSVRC2012_val_00035223,n01484850 0 191 378 475 n01484850 156 191 303 274 ,n01484850
ILSVRC2012_val_00020011,n01484850 0 43 360 302 ,n01484850
ILSVRC2012_val_00016168,n01484850 0 60 488 559 ,n01484850
ILSVRC2012_val_00020011,n01484850 0 43 360 302 ,n01484850
ILSVRC2012_val_00015220,n01484850 0 9 499 262 n01484850 179 284 257 317 ,n01484850
ILSVRC2012_val_00025137,n01491361 87 113 767 531 ,n01491361
ILSVRC2012_val_00034038,n01491361 160 105 427 219 ,n01491361
ILSVRC2012_val_00018466,n01491361 320 157 798 421 n01491361 320 125 638 238 n01491361 225 306 269 364 ,n01491361
ILSVRC2012_val_00030156,n01491361 64 127 403 278 ,n01491361
ILSVRC2012_val_00034038,n01491361 160 105 427 219 ,n01491361
ILSVRC2012_val_00003558,n01494475 84 36 499 334 ,n01494475
ILSVRC2012_val_00016259,n01494475 122 151 498 320 ,n01494475
ILSVRC2012_val_00009460,n01494475 83 152 246 232 n01494475 243 156 358 215 n01494475 86 102 101 116 ,n01494475
ILSVRC2012_val_00031424,n01494475 35 73 498 366 ,n01494475
ILSVRC2012_val_00045133,n01494475 95 150 389 312 ,n01494475
ILSVRC2012_val_00015732,n01496331 61 99 423 313 ,n01496331
ILSVRC2012_val_00028422,n01496331 31 127 367 256 n01496331 185 110 433 171 ,n01496331
ILSVRC2012_val_00047080,n01496331 9 4 470 402 ,n01496331
ILSVRC2012_val_00017440,n01496331 177 122 446 200 n01496331 0 192 332 281 ,n01496331
ILSVRC2012_val_00019988,n01496331 0 31 593 375 n01496331 327 1 638 240 ,n01496331
ILSVRC2012_val_00042534,n01498041 133 146 321 246 ,n01498041
ILSVRC2012_val_00024719,n01498041 102 124 450 209 ,n01498041
ILSVRC2012_val_00009734,n01498041 226 140 479 244 n01498041 165 172 329 243 n01498041 359 21 421 63 n01498041 376 63 436 113 ,n01498041
ILSVRC2012_val_00015373,n01498041 53 5 375 181 ,n01498041
ILSVRC2012_val_00027005,n01498041 389 81 496 151 n01498041 126 128 289 279 ,n01498041
ILSVRC2012_val_00046393,n01514668 0 0 382 374 ,n01514668
ILSVRC2012_val_00025431,n01514668 63 1 386 483 ,n01514668
ILSVRC2012_val_00036368,n01514668 145 0 498 400 ,n01514668
ILSVRC2012_val_00011403,n01514668 0 16 486 498 ,n01514668
ILSVRC2012_val_00027207,n01514668 6 8 433 498 ,n01514668
ILSVRC2012_val_00037719,n01514859 42 31 274 237 n01514859 356 232 470 328 n01514859 235 190 339 327 n01514859 272 106 368 208 ,n01514859
ILSVRC2012_val_00014917,n01514859 72 39 452 387 ,n01514859
ILSVRC2012_val_00005535,n01514859 25 52 402 460 ,n01514859
ILSVRC2012_val_00007729,n01514859 213 117 329 239 n01514859 92 22 167 125 ,n01514859
ILSVRC2012_val_00048049,n01514859 171 1 369 248 ,n01514859
ILSVRC2012_val_00010594,n01518878 138 77 414 409 ,n01518878
ILSVRC2012_val_00049090,n01518878 117 205 301 461 ,n01518878
ILSVRC2012_val_00031239,n01518878 137 62 371 456 ,n01518878
ILSVRC2012_val_00008294,n01518878 16 51 404 498 ,n01518878
ILSVRC2012_val_00010594,n01518878 138 77 414 409 ,n01518878
ILSVRC2012_val_00002425,n01530575 181 114 460 321 ,n01530575
ILSVRC2012_val_00027619,n01530575 242 143 299 278 ,n01530575
ILSVRC2012_val_00026784,n01530575 123 7 368 211 ,n01530575
ILSVRC2012_val_00038895,n01530575 102 116 276 371 ,n01530575
ILSVRC2012_val_00006526,n01530575 150 113 339 312 ,n01530575
ILSVRC2012_val_00032855,n01531178 142 181 301 438 ,n01531178
ILSVRC2012_val_00001274,n01531178 280 279 339 461 n01531178 85 88 179 270 ,n01531178
ILSVRC2012_val_00000570,n01531178 195 152 290 341 ,n01531178
ILSVRC2012_val_00026279,n01531178 129 77 333 372 ,n01531178
ILSVRC2012_val_00032855,n01531178 142 181 301 438 ,n01531178
ILSVRC2012_val_00011056,n01532829 165 95 392 221 ,n01532829
ILSVRC2012_val_00048437,n01532829 192 130 308 396 ,n01532829
ILSVRC2012_val_00023942,n01532829 58 45 265 436 ,n01532829
ILSVRC2012_val_00013456,n01532829 271 132 415 210 ,n01532829
ILSVRC2012_val_00048642,n01532829 128 101 433 285 ,n01532829
ILSVRC2012_val_00000713,n01534433 78 98 417 307 ,n01534433
ILSVRC2012_val_00032025,n01534433 267 151 368 303 ,n01534433
ILSVRC2012_val_00040606,n01534433 116 126 332 312 ,n01534433
ILSVRC2012_val_00017970,n01534433 205 155 283 301 ,n01534433
ILSVRC2012_val_00027831,n01534433 115 57 310 333 ,n01534433
ILSVRC2012_val_00032164,n01537544 118 62 283 436 ,n01537544
ILSVRC2012_val_00021300,n01537544 168 167 275 297 ,n01537544
ILSVRC2012_val_00026259,n01537544 190 173 281 361 ,n01537544
ILSVRC2012_val_00048829,n01537544 87 62 273 289 ,n01537544
ILSVRC2012_val_00031987,n01537544 197 191 264 289 ,n01537544
ILSVRC2012_val_00029495,n01558993 105 105 437 411 ,n01558993
ILSVRC2012_val_00002825,n01558993 23 135 358 269 ,n01558993
ILSVRC2012_val_00029627,n01558993 39 35 492 318 ,n01558993
ILSVRC2012_val_00019038,n01558993 207 85 489 362 ,n01558993
ILSVRC2012_val_00044378,n01558993 49 68 277 340 ,n01558993
ILSVRC2012_val_00049803,n01560419 72 77 365 337 ,n01560419
ILSVRC2012_val_00042600,n01560419 176 99 269 373 ,n01560419
ILSVRC2012_val_00000638,n01560419 130 41 324 361 ,n01560419
ILSVRC2012_val_00000217,n01560419 40 123 200 417 ,n01560419
ILSVRC2012_val_00025526,n01560419 127 67 318 446 ,n01560419
ILSVRC2012_val_00026136,n01580077 72 165 468 386 ,n01580077
ILSVRC2012_val_00012132,n01580077 143 75 331 498 ,n01580077
ILSVRC2012_val_00010272,n01580077 91 111 452 371 ,n01580077
ILSVRC2012_val_00022505,n01580077 54 88 439 307 ,n01580077
ILSVRC2012_val_00010240,n01580077 47 85 360 377 ,n01580077
ILSVRC2012_val_00037824,n01582220 16 83 272 472 ,n01582220
ILSVRC2012_val_00039219,n01582220 95 140 314 400 ,n01582220
ILSVRC2012_val_00034437,n01582220 51 36 376 379 ,n01582220
ILSVRC2012_val_00046917,n01582220 158 224 415 333 ,n01582220
ILSVRC2012_val_00016794,n01582220 20 51 473 267 ,n01582220
ILSVRC2012_val_00017756,n01592084 221 145 320 303 ,n01592084
ILSVRC2012_val_00029441,n01592084 62 91 404 380 ,n01592084
ILSVRC2012_val_00034095,n01592084 27 106 422 319 ,n01592084
ILSVRC2012_val_00025692,n01592084 198 136 441 320 ,n01592084
ILSVRC2012_val_00017976,n01592084 166 117 496 278 ,n01592084
ILSVRC2012_val_00045581,n01601694 118 70 433 311 ,n01601694
ILSVRC2012_val_00047626,n01601694 115 118 372 312 ,n01601694
ILSVRC2012_val_00024643,n01601694 272 127 400 266 ,n01601694
ILSVRC2012_val_00028099,n01601694 191 108 310 196 ,n01601694
ILSVRC2012_val_00013223,n01601694 130 83 432 365 ,n01601694
ILSVRC2012_val_00046308,n01608432 72 46 391 397 ,n01608432
ILSVRC2012_val_00046733,n01608432 42 70 396 377 ,n01608432
ILSVRC2012_val_00046948,n01608432 13 27 396 461 ,n01608432
ILSVRC2012_val_00001813,n01608432 107 248 292 402 n01608432 147 3 348 390 ,n01608432
ILSVRC2012_val_00000073,n01608432 303 104 454 232 n01608432 33 134 224 301 ,n01608432
ILSVRC2012_val_00022597,n01614925 98 60 311 252 ,n01614925
ILSVRC2012_val_00034168,n01614925 7 65 300 273 ,n01614925
ILSVRC2012_val_00002031,n01614925 173 50 419 350 ,n01614925
ILSVRC2012_val_00027570,n01614925 0 85 431 412 ,n01614925
ILSVRC2012_val_00033435,n01614925 131 48 293 455 ,n01614925
ILSVRC2012_val_00030618,n01616318 0 75 402 498 ,n01616318
ILSVRC2012_val_00042410,n01616318 0 260 486 431 ,n01616318
ILSVRC2012_val_00027870,n01616318 32 43 336 329 ,n01616318
ILSVRC2012_val_00042410,n01616318 0 260 486 431 ,n01616318
ILSVRC2012_val_00032832,n01616318 146 102 342 440 ,n01616318
ILSVRC2012_val_00024052,n01622779 159 36 408 353 ,n01622779
ILSVRC2012_val_00026579,n01622779 103 8 464 497 ,n01622779
ILSVRC2012_val_00002511,n01622779 140 76 487 498 ,n01622779
ILSVRC2012_val_00049639,n01622779 102 56 259 451 ,n01622779
ILSVRC2012_val_00014982,n01622779 52 30 303 487 ,n01622779
ILSVRC2012_val_00049244,n01629819 139 3 297 281 ,n01629819
ILSVRC2012_val_00009938,n01629819 143 124 454 223 ,n01629819
ILSVRC2012_val_00033081,n01629819 146 103 467 227 ,n01629819
ILSVRC2012_val_00010116,n01629819 0 97 322 311 ,n01629819
ILSVRC2012_val_00028489,n01629819 109 99 397 332 ,n01629819
ILSVRC2012_val_00020393,n01630670 3 9 476 675 ,n01630670
ILSVRC2012_val_00020393,n01630670 3 9 476 675 ,n01630670
ILSVRC2012_val_00003702,n01630670 105 142 904 481 ,n01630670
ILSVRC2012_val_00040174,n01630670 30 91 649 263 ,n01630670
ILSVRC2012_val_00023488,n01630670 75 177 584 360 ,n01630670
ILSVRC2012_val_00001728,n01631663 196 87 285 447 ,n01631663
ILSVRC2012_val_00001728,n01631663 196 87 285 447 ,n01631663
ILSVRC2012_val_00038658,n01631663 135 118 392 288 ,n01631663
ILSVRC2012_val_00012441,n01631663 24 90 423 330 ,n01631663
ILSVRC2012_val_00022134,n01631663 57 111 460 267 ,n01631663
ILSVRC2012_val_00026813,n01632458 41 34 484 278 ,n01632458
ILSVRC2012_val_00036878,n01632458 86 71 389 326 ,n01632458
ILSVRC2012_val_00010462,n01632458 36 101 332 453 ,n01632458
ILSVRC2012_val_00013069,n01632458 156 36 408 309 ,n01632458
ILSVRC2012_val_00038459,n01632458 134 116 471 350 ,n01632458
ILSVRC2012_val_00016514,n01632777 121 200 418 365 ,n01632777
ILSVRC2012_val_00003860,n01632777 48 76 552 349 ,n01632777
ILSVRC2012_val_00048148,n01632777 70 78 997 305 ,n01632777
ILSVRC2012_val_00025348,n01632777 163 148 475 361 n01632777 168 333 352 436 ,n01632777
ILSVRC2012_val_00027929,n01632777 37 79 409 278 ,n01632777
ILSVRC2012_val_00032061,n01641577 0 0 498 411 ,n01641577
ILSVRC2012_val_00047498,n01641577 109 4 499 356 ,n01641577
ILSVRC2012_val_00047498,n01641577 109 4 499 356 ,n01641577
ILSVRC2012_val_00035535,n01641577 66 15 453 365 ,n01641577
ILSVRC2012_val_00025633,n01641577 117 148 360 289 ,n01641577
ILSVRC2012_val_00034542,n01644373 153 85 370 327 ,n01644373
ILSVRC2012_val_00012428,n01644373 0 34 365 252 ,n01644373
ILSVRC2012_val_00041279,n01644373 93 121 272 243 ,n01644373
ILSVRC2012_val_00033084,n01644373 77 40 486 330 ,n01644373
ILSVRC2012_val_00030352,n01644373 101 114 348 247 ,n01644373
ILSVRC2012_val_00021211,n01644900 14 44 437 316 ,n01644900
ILSVRC2012_val_00036942,n01644900 277 235 823 585 ,n01644900
ILSVRC2012_val_00028629,n01644900 90 215 227 306 ,n01644900
ILSVRC2012_val_00011303,n01644900 195 97 481 310 ,n01644900
ILSVRC2012_val_00013354,n01644900 14 130 350 324 ,n01644900
ILSVRC2012_val_00049773,n01664065 0 0 373 378 ,n01664065
ILSVRC2012_val_00021983,n01664065 98 123 322 200 ,n01664065
ILSVRC2012_val_00011444,n01664065 0 33 416 306 ,n01664065
ILSVRC2012_val_00047105,n01664065 49 39 440 357 ,n01664065
ILSVRC2012_val_00042216,n01664065 61 0 396 278 ,n01664065
ILSVRC2012_val_00047746,n01665541 82 75 499 323 ,n01665541
ILSVRC2012_val_00011996,n01665541 103 99 423 271 ,n01665541
ILSVRC2012_val_00035905,n01665541 0 173 423 374 ,n01665541
ILSVRC2012_val_00034960,n01665541 0 80 320 365 ,n01665541
ILSVRC2012_val_00010669,n01665541 59 54 490 374 ,n01665541
ILSVRC2012_val_00041017,n01667114 42 59 431 332 ,n01667114
ILSVRC2012_val_00023703,n01667114 81 1 499 374 ,n01667114
ILSVRC2012_val_00012732,n01667114 84 46 499 268 ,n01667114
ILSVRC2012_val_00025567,n01667114 80 170 331 381 ,n01667114
ILSVRC2012_val_00039441,n01667114 467 199 2322 1609 ,n01667114
ILSVRC2012_val_00031774,n01667778 114 129 389 284 ,n01667778
ILSVRC2012_val_00046149,n01667778 189 152 499 328 n01667778 1 60 271 331 ,n01667778
ILSVRC2012_val_00013675,n01667778 17 23 476 394 ,n01667778
ILSVRC2012_val_00040776,n01667778 128 194 540 460 n01667778 168 20 523 224 ,n01667778
ILSVRC2012_val_00029806,n01667778 86 89 409 320 ,n01667778
ILSVRC2012_val_00038230,n01669191 160 120 419 374 ,n01669191
ILSVRC2012_val_00034794,n01669191 0 0 499 382 ,n01669191
ILSVRC2012_val_00011530,n01669191 40 40 354 278 ,n01669191
ILSVRC2012_val_00049782,n01669191 93 50 432 290 ,n01669191
ILSVRC2012_val_00049782,n01669191 93 50 432 290 ,n01669191
ILSVRC2012_val_00037626,n01675722 69 18 405 396 ,n01675722
ILSVRC2012_val_00026661,n01675722 39 40 419 287 n01675722 78 161 236 376 n01675722 226 226 391 376 ,n01675722
ILSVRC2012_val_00024545,n01675722 88 0 498 320 ,n01675722
ILSVRC2012_val_00030721,n01675722 0 95 475 279 ,n01675722
ILSVRC2012_val_00019007,n01675722 116 52 373 246 ,n01675722
ILSVRC2012_val_00033058,n01677366 165 102 498 333 ,n01677366
ILSVRC2012_val_00046407,n01677366 48 8 499 373 ,n01677366
ILSVRC2012_val_00043012,n01677366 2 74 499 312 n01677366 154 41 281 104 n01677366 377 250 495 374 ,n01677366
ILSVRC2012_val_00023555,n01677366 39 10 438 395 ,n01677366
ILSVRC2012_val_00028198,n01677366 29 20 440 328 ,n01677366
ILSVRC2012_val_00039282,n01682714 68 13 318 498 ,n01682714
