ImageId,PredictionString,target
ILSVRC2012_val_00040833,n01440764 130 122 375 240 ,n01440764
ILSVRC2012_val_00046969,n01443537 11 37 341 296 ,n01443537
ILSVRC2012_val_00019409,n01484850 56 121 574 356 ,n01484850
ILSVRC2012_val_00023443,n01491361 63 29 357 370 ,n01491361
ILSVRC2012_val_00018943,n01494475 81 140 332 490 ,n01494475
ILSVRC2012_val_00042751,n01496331 128 134 447 241 ,n01496331
ILSVRC2012_val_00027005,n01498041 389 81 496 151 n01498041 126 128 289 279 ,n01498041
ILSVRC2012_val_00024957,n01514668 49 24 496 393 ,n01514668
ILSVRC2012_val_00014879,n01514859 36 37 409 357 ,n01514859
ILSVRC2012_val_00044975,n01518878 199 14 495 333 n01518878 7 80 304 330 ,n01518878
ILSVRC2012_val_00016476,n01530575 54 31 484 421 ,n01530575
ILSVRC2012_val_00026279,n01531178 129 77 333 372 ,n01531178
ILSVRC2012_val_00042370,n01532829 263 312 441 398 n01532829 46 258 131 461 ,n01532829
ILSVRC2012_val_00030544,n01534433 126 188 491 423 ,n01534433
ILSVRC2012_val_00002449,n01537544 206 213 293 402 ,n01537544
ILSVRC2012_val_00029417,n01558993 136 178 351 472 ,n01558993
ILSVRC2012_val_00020788,n01560419 107 140 256 435 ,n01560419
ILSVRC2012_val_00034144,n01580077 103 133 228 426 ,n01580077
ILSVRC2012_val_00004559,n01582220 149 101 284 445 ,n01582220
ILSVRC2012_val_00045568,n01592084 44 153 248 299 ,n01592084
ILSVRC2012_val_00031973,n01601694 137 115 238 260 ,n01601694
ILSVRC2012_val_00027693,n01608432 166 134 268 187 n01608432 228 189 320 229 ,n01608432
ILSVRC2012_val_00033435,n01614925 131 48 293 455 ,n01614925
ILSVRC2012_val_00024514,n01616318 186 193 446 362 ,n01616318
ILSVRC2012_val_00029497,n01622779 2 3 427 497 ,n01622779
ILSVRC2012_val_00016747,n01629819 143 107 484 204 ,n01629819
ILSVRC2012_val_00045101,n01630670 242 395 1989 1213 ,n01630670
ILSVRC2012_val_00035450,n01631663 150 177 307 231 ,n01631663
ILSVRC2012_val_00031289,n01632458 61 2 465 471 ,n01632458
ILSVRC2012_val_00019710,n01632777 16 10 576 395 ,n01632777
ILSVRC2012_val_00020916,n01641577 1 63 280 295 ,n01641577
ILSVRC2012_val_00006987,n01644373 93 110 290 351 ,n01644373
ILSVRC2012_val_00043524,n01644900 164 74 453 322 ,n01644900
ILSVRC2012_val_00014352,n01664065 144 52 452 350 ,n01664065
ILSVRC2012_val_00025441,n01665541 163 118 403 290 n01665541 71 193 286 355 n01665541 292 0 404 180 n01665541 1 277 127 374 n01665541 81 24 291 157 n01665541 0 41 80 115 n01665541 23 0 234 128 ,n01665541
ILSVRC2012_val_00030163,n01667114 165 137 268 198 ,n01667114
ILSVRC2012_val_00040231,n01667778 0 0 798 399 ,n01667778
ILSVRC2012_val_00001662,n01669191 193 0 499 304 ,n01669191
ILSVRC2012_val_00013582,n01675722 26 172 252 260 ,n01675722
ILSVRC2012_val_00046740,n01677366 206 80 499 333 ,n01677366
ILSVRC2012_val_00040352,n01682714 37 28 177 472 ,n01682714
ILSVRC2012_val_00008807,n01685808 220 71 290 244 ,n01685808
